t,bid,ask,mid,book_bid,book_ask,inventory,cash,pnl,spread
82,99.234231,100.274231,99.854231,99.804231,99.904231,2.000000,-180.957134,18.751328,1.040000
83,99.296234,100.336234,99.916234,99.866234,99.966234,3.000000,-280.253368,19.495335,1.040000
84,99.440899,100.500899,100.120899,100.070899,100.170899,3.000000,-280.253368,20.109330,1.060000
85,99.616703,100.676703,100.296703,100.246703,100.346703,4.000000,-379.870071,21.316743,1.060000
86,99.778681,100.858681,100.518681,100.468681,100.568681,3.000000,-279.011390,22.544652,1.080000
87,99.898197,100.958197,100.578197,100.528197,100.628197,4.000000,-378.909587,23.403200,1.060000
88,99.887280,100.967280,100.627280,100.577280,100.677280,4.000000,-378.909587,23.599534,1.080000
89,99.963267,101.043267,100.703267,100.653267,100.753267,3.000000,-277.866321,24.243480,1.080000
90,100.073727,101.133727,100.753727,100.703727,100.803727,4.000000,-377.940047,25.074859,1.060000
91,100.021321,101.101321,100.761321,100.711321,100.811321,5.000000,-477.961368,25.845237,1.080000
92,99.613611,100.713611,100.413611,100.363611,100.463611,4.000000,-377.247757,24.406686,1.100000
93,99.633408,100.713408,100.373408,100.323408,100.423408,4.000000,-377.247757,24.245875,1.080000
94,99.461250,100.541250,100.201250,100.151250,100.251250,5.000000,-476.709007,24.297243,1.080000
95,99.609690,100.709690,100.409690,100.359690,100.459690,4.000000,-375.999317,25.639445,1.100000
96,99.732486,100.812486,100.472486,100.422486,100.522486,4.000000,-375.999317,25.890628,1.080000
97,99.623259,100.703259,100.363259,100.313259,100.413259,5.000000,-475.622576,26.193721,1.080000
98,99.661779,100.761779,100.461779,100.411779,100.511779,6.000000,-575.284356,27.486319,1.100000
99,99.386394,100.506394,100.246394,100.196394,100.296394,6.000000,-575.284356,26.194008,1.120000
100,99.303002,100.423002,100.163002,100.113002,100.213002,6.000000,-575.284356,25.693658,1.120000
101,99.283842,100.403842,100.143842,100.093842,100.193842,5.000000,-474.880514,25.838696,1.120000
102,99.627274,100.727274,100.427274,100.377274,100.477274,6.000000,-574.507788,28.055857,1.100000
103,99.465903,100.585903,100.325903,100.275903,100.375903,6.000000,-574.507788,27.447633,1.120000
104,99.488378,100.608378,100.348378,100.298378,100.398378,7.000000,-673.996166,28.442483,1.120000
105,99.449515,100.589515,100.369515,100.319515,100.419515,6.000000,-573.406652,28.810436,1.140000
106,99.654473,100.774473,100.514473,100.464473,100.564473,5.000000,-472.632178,29.940189,1.120000
107,99.637832,100.737832,100.437832,100.387832,100.487832,4.000000,-371.894346,29.856980,1.100000
108,99.641653,100.721653,100.381653,100.331653,100.431653,4.000000,-371.894346,29.632267,1.080000
109,99.447971,100.527971,100.187971,100.137971,100.237971,5.000000,-471.342318,29.597538,1.080000
110,99.371892,100.471892,100.171892,100.121892,100.221892,4.000000,-370.870426,29.817142,1.100000
111,99.358959,100.438959,100.098959,100.048959,100.148959,5.000000,-470.229385,30.265412,1.080000
112,99.278602,100.378602,100.078602,100.028602,100.128602,5.000000,-470.229385,30.163624,1.100000
113,99.159576,100.259576,99.959576,99.909576,100.009576,4.000000,-369.969809,29.868495,1.100000
114,98.987252,100.067252,99.727252,99.677252,99.777252,5.000000,-468.957061,29.679198,1.080000
115,98.875782,99.975782,99.675782,99.625782,99.725782,5.000000,-468.957061,29.421851,1.100000
116,98.916442,100.016442,99.716442,99.666442,99.766442,5.000000,-468.957061,29.625147,1.100000
117,99.253163,100.353163,100.053163,100.003163,100.103163,4.000000,-368.603898,31.608752,1.100000
118,99.326147,100.406147,100.066147,100.016147,100.116147,5.000000,-467.930046,32.400692,1.080000
119,99.177215,100.277215,99.977215,99.927215,100.027215,6.000000,-567.107261,32.756029,1.100000
120,99.075117,100.195117,99.935117,99.885117,99.985117,6.000000,-567.107261,32.503440,1.120000
121,98.984520,100.104520,99.844520,99.794520,99.894520,7.000000,-666.091781,32.819862,1.120000
122,99.029384,100.169384,99.949384,99.899384,99.999384,8.000000,-765.121165,34.473909,1.140000
123,99.059369,100.219369,100.039369,99.989369,100.089369,8.000000,-765.121165,35.193785,1.160000
124,99.010709,100.170709,99.990709,99.940709,100.040709,7.000000,-664.950456,34.984510,1.160000
125,99.149401,100.289401,100.069401,100.019401,100.119401,6.000000,-564.661055,35.755350,1.140000
126,99.355296,100.475296,100.215296,100.165296,100.265296,6.000000,-564.661055,36.630719,1.120000
127,99.586967,100.706967,100.446967,100.396967,100.496967,6.000000,-564.661055,38.020747,1.120000
128,99.638577,100.758577,100.498577,100.448577,100.548577,6.000000,-564.661055,38.330408,1.120000
129,99.777512,100.897512,100.637512,100.587512,100.687512,6.000000,-564.661055,39.164017,1.120000
130,99.622352,100.742352,100.482352,100.432352,100.532352,6.000000,-564.661055,38.233055,1.120000
131,99.652994,100.772994,100.512994,100.462994,100.562994,6.000000,-564.661055,38.416910,1.120000
132,99.823547,100.943547,100.683547,100.633547,100.733547,6.000000,-564.661055,39.440225,1.120000
133,99.890580,101.010580,100.750580,100.700580,100.800580,7.000000,-664.551635,40.702427,1.120000
134,99.748825,100.888825,100.668825,100.618825,100.718825,6.000000,-563.662811,40.350137,1.140000
135,99.618717,100.738717,100.478717,100.428717,100.528717,5.000000,-462.924093,39.469493,1.120000
136,99.911956,101.011956,100.711956,100.661956,100.761956,6.000000,-562.836049,41.435685,1.100000
137,99.704776,100.824776,100.564776,100.514776,100.614776,5.000000,-462.011273,40.812605,1.120000
138,99.844191,100.944191,100.644191,100.594191,100.694191,6.000000,-561.855464,42.009681,1.100000
139,99.756607,100.876607,100.616607,100.566607,100.666607,6.000000,-561.855464,41.844179,1.120000
140,99.424093,100.544093,100.284093,100.234093,100.334093,6.000000,-561.855464,39.849094,1.120000
141,99.632528,100.752528,100.492528,100.442528,100.542528,6.000000,-561.855464,41.099703,1.120000
142,99.540241,100.660241,100.400241,100.350241,100.450241,5.000000,-461.195223,40.805983,1.120000
143,99.657661,100.757661,100.457661,100.407661,100.507661,5.000000,-461.195223,41.093082,1.100000
144,99.427551,100.527551,100.227551,100.177551,100.277551,5.000000,-461.195223,39.942533,1.100000
145,99.482012,100.582012,100.282012,100.232012,100.332012,5.000000,-461.195223,40.214836,1.100000
146,99.387983,100.487983,100.187983,100.137983,100.237983,6.000000,-560.583206,40.544692,1.100000
147,99.126682,100.246682,99.986682,99.936682,100.036682,7.000000,-659.709888,40.196886,1.120000
148,99.125488,100.265488,100.045488,99.995488,100.095488,7.000000,-659.709888,40.608530,1.140000
149,99.106809,100.246809,100.026809,99.976809,100.076809,8.000000,-758.816698,41.397778,1.140000
150,99.215341,100.375341,100.195341,100.145341,100.245341,7.000000,-658.441357,42.926028,1.160000
151,99.596822,100.736822,100.516822,100.466822,100.566822,7.000000,-658.441357,45.176394,1.140000
152,99.868872,101.008872,100.788872,100.738872,100.838872,7.000000,-658.441357,47.080744,1.140000
153,99.929559,101.069559,100.849559,100.799559,100.899559,7.000000,-658.441357,47.505556,1.140000
154,99.943070,101.083070,100.863070,100.813070,100.913070,7.000000,-658.441357,47.600132,1.140000
155,99.955479,101.095479,100.875479,100.825479,100.925479,8.000000,-758.396836,48.606999,1.140000
156,100.028410,101.188410,101.008410,100.958410,101.058410,7.000000,-657.208427,49.850441,1.160000
157,100.053354,101.193354,100.973354,100.923354,101.023354,6.000000,-556.015072,49.825053,1.140000
158,100.156837,101.276837,101.016837,100.966837,101.066837,6.000000,-556.015072,50.085947,1.120000
159,100.128753,101.248753,100.988753,100.938753,101.038753,5.000000,-454.766320,50.177445,1.120000
160,99.837813,100.937813,100.637813,100.587813,100.687813,5.000000,-454.766320,48.422747,1.100000
161,99.785083,100.885083,100.585083,100.535083,100.635083,6.000000,-554.551402,48.959095,1.100000
162,99.487113,100.607113,100.347113,100.297113,100.397113,5.000000,-453.944289,47.791277,1.120000
163,99.483787,100.583787,100.283787,100.233787,100.333787,5.000000,-453.944289,47.474645,1.100000
164,99.580920,100.680920,100.380920,100.330920,100.430920,5.000000,-453.944289,47.960313,1.100000
165,99.661324,100.761324,100.461324,100.411324,100.511324,5.000000,-453.944289,48.362333,1.100000
166,99.580363,100.680363,100.380363,100.330363,100.430363,6.000000,-553.524652,48.757524,1.100000
167,99.307368,100.427368,100.167368,100.117368,100.217368,7.000000,-652.832020,48.339559,1.120000
168,98.962856,100.102856,99.882856,99.832856,99.932856,6.000000,-552.729164,46.567974,1.140000
169,99.112720,100.232720,99.972720,99.922720,100.022720,6.000000,-552.729164,47.107158,1.120000
170,99.239256,100.359256,100.099256,100.049256,100.149256,7.000000,-651.968420,48.726375,1.120000
171,99.019308,100.159308,99.939308,99.889308,99.989308,8.000000,-750.987728,48.526737,1.140000
172,99.174821,100.334821,100.154821,100.104821,100.204821,8.000000,-750.987728,50.250843,1.160000
173,99.069566,100.229566,100.049566,99.999566,100.099566,8.000000,-750.987728,49.408803,1.160000
174,99.048074,100.208074,100.028074,99.978074,100.078074,9.000000,-850.035802,50.216863,1.160000
175,98.897983,100.077983,99.937983,99.887983,99.987983,8.000000,-749.957819,49.546046,1.180000
176,98.755116,99.915116,99.735116,99.685116,99.785116,9.000000,-848.712935,48.903106,1.160000
177,98.611353,99.791353,99.651353,99.601353,99.701353,10.000000,-947.324287,49.189238,1.180000
178,98.810515,100.010515,99.910515,99.860515,99.960515,11.000000,-1046.134802,52.880860,1.200000
179,98.374124,99.899124,99.686624,99.636624,99.736624,10.000000,-946.235678,50.630567,1.525000
180,98.839327,100.039327,99.939327,99.889327,99.989327,10.000000,-946.235678,53.157595,1.200000
181,98.579780,99.779780,99.679780,99.629780,99.729780,9.000000,-846.455898,50.662122,1.200000
182,98.455020,99.635020,99.495020,99.445020,99.545020,8.000000,-746.820877,49.139285,1.180000
183,98.543458,99.703458,99.523458,99.473458,99.573458,7.000000,-647.117419,49.546787,1.160000
184,98.809315,99.949315,99.729315,99.679315,99.779315,6.000000,-547.168105,51.207784,1.140000
185,98.767647,99.887647,99.627647,99.577647,99.677647,6.000000,-547.168105,50.597776,1.120000
186,98.800449,99.920449,99.660449,99.610449,99.710449,5.000000,-447.247655,51.054591,1.120000
187,98.787793,99.887793,99.587793,99.537793,99.637793,5.000000,-447.247655,50.691309,1.100000
188,99.027214,100.127214,99.827214,99.777214,99.877214,5.000000,-447.247655,51.888417,1.100000
189,99.117372,100.217372,99.917372,99.867372,99.967372,6.000000,-546.365028,53.139207,1.100000
190,98.958893,100.078893,99.818893,99.768893,99.868893,7.000000,-645.323921,53.408331,1.120000
191,98.782031,99.922031,99.702031,99.652031,99.752031,7.000000,-645.323921,52.590297,1.140000
192,98.260306,99.400306,99.180306,99.130306,99.230306,7.000000,-645.323921,48.938219,1.140000
193,98.220066,99.360066,99.140066,99.090066,99.190066,6.000000,-545.963855,48.876543,1.140000
194,98.342123,99.462123,99.202123,99.152123,99.252123,7.000000,-644.305978,50.108885,1.120000
195,98.483436,99.623436,99.403436,99.353436,99.453436,7.000000,-644.305978,51.518078,1.140000
196,98.655880,99.795880,99.575880,99.525880,99.625880,7.000000,-644.305978,52.725182,1.140000
197,98.734662,99.874662,99.654662,99.604662,99.704662,7.000000,-644.305978,53.276654,1.140000
198,98.742772,99.882772,99.662772,99.612772,99.712772,7.000000,-644.305978,53.333429,1.140000
199,98.778825,99.918825,99.698825,99.648825,99.748825,7.000000,-644.305978,53.585797,1.140000
200,98.816504,99.956504,99.736504,99.686504,99.786504,8.000000,-743.122482,54.769552,1.140000
201,98.688435,99.848435,99.668435,99.618435,99.718435,8.000000,-743.122482,54.224996,1.160000
202,98.721446,99.881446,99.701446,99.651446,99.751446,8.000000,-743.122482,54.489085,1.160000
203,98.438863,99.598863,99.418863,99.368863,99.468863,8.000000,-743.122482,52.228425,1.160000
204,98.620687,99.780687,99.600687,99.550687,99.650687,8.000000,-743.122482,53.683013,1.160000
205,98.599079,99.759079,99.579079,99.529079,99.629079,9.000000,-841.721561,54.490154,1.160000
